"SourceFile","RangeStartDate","RangeEndDate","AwardDate","AwardNoticeDate","TenderCaseNo","TenderName","TenderOrgName","TenderOrgAddr","ContactPerson","TenderTel","ProcurementType","ProcurementAttr","TenderAwardWay","TenderAwardPrice","BidderSuppName","BidderSuppAddr","NotObtainSuppName"
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/02","2020/01/03","3710800404","109年度中1機FGD風門設備大修工作","台灣電力股份有限公司台中發電廠","434臺中市龍井區麗水里龍昌路1號","廖雪涵","(04)26302123分機2612","公開招標","勞務類","最低標","15435006","彥富實業有限公司","436臺中市清水區國姓里三美路120號",""
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/02","2020/01/03","108L0322","冷凍豬肉一批開口契約","臺北榮民總醫院","112臺北市北投區石牌路二段201號","陳仙恩","(02)28757472分機","公開招標","財物類","最低標","19990280","嘉一香食品股份有限公司","108臺北市萬華區桂林路128號21樓",""
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/02","2020/01/21","GEO1097002","109年度坡地管理資料庫擴充及維護委託資訊服務案","臺北市政府工務局大地工程處","110臺北市信義區松德路300號3樓","黃凱暉","(02)27593001分機3726","限制性招標(經公開評選或公開徵求)","勞務類","準用最有利標","4990000","多維空間資訊有限公司","114臺北市內湖區石潭路27號7樓之6",""
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/02","2020/01/20","108102911","電子票證IC卡(訂製卡)","交通部觀光局","106臺北市大安區忠孝東路4段290號9樓","陳瀅如","(02)23491500分機8413","公開招標","財物類","最低標","8600000","悠遊卡股份有限公司","115臺北市南港區園區街3-1號6樓之2、13樓及13樓之1","愛金卡股份有限公司"
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/02","2020/01/06","30610810","109年度新營工業區污水處理廠污泥委託代清理工作","經濟部工業局","730臺南市新營區新工路28號","林詠瑄","(06)6526838分機6132","公開招標","勞務類","最低標","4896500","大登環保科技股份有限公司","830高雄市鳳山區光復路二段339之5號2樓","永潔資源有限公司"
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/02","2020/01/08","108-D0801","高雄海洋科技產業創新專區海洋科技產業創新研發中心深水池造流設備採購案","財團法人金屬工業研究發展中心","811高雄市楠梓區高楠公路1001號","採購：黃小姐 #2858 /承辦：陳先生 #2643","(07)3513121分機2858","公開招標","財物類","最有利標","99423844","三太造機廠股份有限公司","621嘉義縣民雄鄉嘉義縣民雄鄉福樂村成功三街3號",""
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/02","2020/01/06","U8F08F010","No.27鍋爐脫硝觸媒更新(含安裝、測試等)一批","台灣中油股份有限公司","110臺北市信義區松仁路3號19樓","黃詠辰","(02)87258316分機","公開招標","財物類","最低標","14681625","國偉科技有限公司","813高雄市左營區博愛三路8號16樓之2","輝虎工業股份有限公司"
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/02","2020/01/07","RDB0816022","深澳中心三號及四號卸油臂整修工作","台灣中油股份有限公司","110臺北市信義區松仁路3號19樓","祝安萱","(02)87258306分機","限制性招標(未經公開評選或公開徵求)","勞務類","最低標","21283370","育青企業有限公司","114臺北市內湖區民權東路6段160號7樓之2",""
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/02","2020/01/06","1082319E","109年度資料浮標維護與資料管理作業暨東北角海域安全資訊管理作業","交通部中央氣象局","100臺北市中正區公園路64號","麥先生","(02)23491198分機","限制性招標(未經公開評選或公開徵求)","勞務類","最低標","12460000","財團法人成大研究發展基金會","701臺南市東區大學路1號",""
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/02","2020/01/03","NPM108199","璀璨任務：尋找新感動 高解析度影片製作宣傳案","國立故宮博物院","111臺北市士林區至善路二段221號","教展處吳先生/秘書室李小姐","(02)66103600分機2150/2283","限制性招標(經公開評選或公開徵求)","勞務類","準用最有利標","9500000","青銅視覺藝術有限公司","220新北市板橋區縣民大道3段109號4樓",""
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/02","2020/01/03","109KSPTDS01","109年度高雄市及屏東縣水土保持、農村及農路工程委託設計監造技術服務","行政院農業委員會水土保持局臺南分局","701臺南市東區林森路一段316號","鍾世文","(06)2684367分機4118","限制性招標(經公開評選或公開徵求)","勞務類","準用最有利標","17766000","昱城工程顧問有限公司","954臺東縣卑南鄉泰安村泰安320號1樓","睿泰工程顧問有限公司"
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/02","2020/01/06","DEF0800014","VEGA5000S桌上型刷卡機設備維護保養","台灣中油股份有限公司","110臺北市信義區松仁路3號19樓","祝安萱","(02)87258306分機","限制性招標(未經公開評選或公開徵求)","勞務類","最低標","19785500","嘉利科技股份有限公司","100臺北市中正區重慶南路2段51號13樓",""
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/02","2020/01/06","APS1081107","109年度桌上型爆裂物偵檢儀6部增購案","內政部警政署航空警察局","337桃園市大園區埔心里航勤北路27號","鄭甲念","(03)3982231分機","公開招標","財物類","最低標","6240000","光智貿易有限公司","100臺北市中正區北平東路16號5樓之3","歐畢通科技有限公司"
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/02","2020/01/06","109A043","國際廢棄物越境管理因應調整計畫","行政院環境保護署","100臺北市中正區中華路一段83號","黃相維   劉美玲","(02)23117722分機2634  2468","限制性招標(經公開評選或公開徵求)","勞務類","準用最有利標","7250000","環科工程顧問股份有限公司","106臺北市大安區忠孝東路4段280號8樓",""
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/02","2020/01/07","109-4-1019","109年租賃支局網路設備","中華郵政股份有限公司","106臺北市大安區金山南路2段55號","王雪芬","(02)23921310分機2320","限制性招標(未經公開評選或公開徵求)","財物類","最低標","177971640","駿永資訊科技股份有限公司","100臺北市中正區北平東路30號5樓",""
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/03","2020/01/21","10902W","109年度加強新媒體農業傳播計畫","行政院農業委員會","100臺北市中正區南海路37號","公關科江文德","(02)23126064分機","限制性招標(經公開評選或公開徵求)","勞務類","準用最有利標","8280000","海極創意代理股份有限公司","105臺北市松山區光復南路1號11樓之1","財團法人豐年社"
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/03","2020/01/17","nwda1080140","工作站186臺","勞動部勞動力發展署北基宜花金馬分署","242新北市新莊區中平路439號南棟3樓","鄭煥琨/王瀅瀅","(02)89956399分機1253/1606","公開招標","財物類","最低標","9051600","炘承資訊有限公司","242新北市新莊區新樹路617號5樓",""
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/03","2020/01/15","NO1090012","本所委託代辦109年員工公務出國機票及相關服務開口合約","行政院原子能委員會核能研究所","325桃園市龍潭區佳安里文化路1000號","賴佩青/申請人張貴英 分機 2326","(03)4711400分機2342","限制性招標(經公開評選或公開徵求)","勞務類","準用最有利標","6010500","天意旅行社股份有限公司","110臺北市信義區忠孝東路5段508號5樓之1","台灣英達旅行社有限公司"
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/03","2020/01/07","1082W053","延性鑄鐵管K型第三種200m/m乙批","台灣自來水股份有限公司第四區管理處","404臺中市北區雙十路二段二號","楊淑菁","(04)22218341分機325","公開招標","財物類","最低標","47486250","友騰工業股份有限公司","221新北市汐止區長江街45號1樓","錦源鑄造工業股份有限公司"
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/03","2020/01/06","MDC0850003","大林廠D-323油槽清洗檢修暨增設槽頂工作","台灣中油股份有限公司","110臺北市信義區松仁路3號19樓","曾明生","(02)87258319分機","公開招標","勞務類","最低標","29616195","全翰工業有限公司","335桃園市大溪區三元一街2巷35弄16號",""
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/03","2020/01/08","GF2-108054","耐熱複合心鋁線(TACCSR) 636 、795MCM及附屬配件(購置及安裝)","臺灣銀行股份有限公司","100臺北市中正區武昌街一段45號","開標二科","(02)23497673分機","公開招標","財物類","最低標","152345256","Taihan Electric Wire Co., Ltd.","999Taihan Smart Tower,317 Sjimin-Daero, Dongan-Gu, Anyang-Si, Gyeonggi-Do,14055, S.Korea","LS Cable & System Ltd."
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/03","2020/01/06","108-2-00109","桃園國際機場股份有限公司轉投資航空物流業可行性評估與規劃設立顧問案","桃園國際機場股份有限公司","337桃園市大園區航站南路9號","徐小姐","(03)2733699分機","限制性招標(經公開評選或公開徵求)","勞務類","準用最有利標","8190000","台灣野村總研諮詢顧問股份有限公司","105臺北市松山區敦化北路168號10樓","凌群策略財務顧問有限公司"
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/03","2020/01/09","109e700042","二林園區景觀及清潔維護工作(109年度)","科技部中部科學工業園區管理局","407臺中市西屯區中科路2號","趙庭佑(規範)/陳家榮(招標)","(04)25658588分機7636/6925","限制性招標(經公開評選或公開徵求)","勞務類","準用最有利標","15300000","淼森工程有限公司","435臺中市梧棲區大村里28鄰立德街289巷11號1樓","一品景造園有限公司"
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/03","2020/01/09","1081102-90","109年度訓練材料五金類集中採購","勞動部勞動力發展署高屏澎東分署","806高雄市前鎮區凱旋4路105號","陳信志","(07)8210171分機3112","公開招標","財物類","最低標","6185961","兆揚國際有限公司","833高雄市鳥松區松竹街35號1樓","元信機電工業股份有限公司"
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/03","2020/01/06","10833197","三門診之UPS不斷電設備安裝","臺北榮民總醫院","112臺北市北投區石牌路2段201號","倪銘仁","(02)28712121分機7485","公開招標","財物類","最低標","24840000","群晶科技有限公司","242新北市新莊區思源路171號11樓",""
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/03","2020/01/06","MGD0850004","大林廠煉製北區搭、拆架零星工作","台灣中油股份有限公司","811高雄市楠梓區左楠路2號","林德誠","(07)5824141分機2621","公開招標","勞務類","最低標","12300000","妙奕陞有限公司","825高雄市橋頭區三德路8之7號","祥宏企業有限公司"
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/03","2020/01/06","3410800363-S08183","興三四機排煙脫硫設備年度經常性及大修檢修工作","台灣電力股份有限公司興達發電廠","828高雄市永安區鹽田里興達路六號","林瑞彬","(07)6912811分機3351","公開招標","勞務類","最低標","10920000","鈺發機械有限公司","827高雄市彌陀區漯底里樂安路100號",""
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/03","2020/01/07","3520800185","移動式高壓注水泵3套","台灣電力股份有限公司第三核能發電廠","946屏東縣恆春鎮南灣路387號","羅時輝","(08)8893470分機3025","公開招標","財物類","最低標","40320000","鋐原能源股份有限公司","110臺北市信義區基隆路2段77號4樓之6","南寧工程股份有限公司"
"award_20200101.xml","2020/01/01","2020/01/15","2020/01/03","2020/01/07","109-4-1005","穿牆型四箱匣自動櫃員機設備319臺3年維護。","中華郵政股份有限公司","106臺北市大安區金山南路2段55號","蘇子洺","(02)23921310分機2316","公開招標","勞務類","最低標","15694800","錢隆科技股份有限公司","221新北市汐止區新台五路1段99號20樓之5",""
