SourceFile,RangeStartDate,RangeEndDate,AwardDate,AwardNoticeDate,TenderCaseNo,TenderName,TenderOrgName,TenderOrgAddr,ContactPerson,TenderTel,ProcurementType,ProcurementAttr,TenderAwardWay,TenderAwardPrice,BidderSuppName,BidderSuppAddr,NotObtainSuppName
award_20220101.xml,2022/01/01,2022/01/15,2022/01/07,2022/01/10,11004801640,經濟部「111年資安整合聯防機制服務案」,經濟部,100臺北市中正區福州街15號,林霆,(02)23212200分機8687,經公開評選或公開徵求之限制性招標,勞務類,準用最有利標,24500000,安碁資訊股份有限公司,110臺北市信義區忠孝東路4段563號8樓,
award_20220101.xml,2022/01/01,2022/01/15,2022/01/12,2022/01/13,1102280B,局屬網路線路租賃,交通部中央氣象局,100臺北市中正區公園路64號,劉子禎,(02)23491293分機,公開招標,財物類,最低標,7120200,中華電信股份有限公司企業客戶分公司,106臺北市大安區信義路四段88號16樓,
award_20220101.xml,2022/01/01,2022/01/15,2022/01/13,2022/01/18,110-4-1240,落地型補摺機TCP/IP網路佈線暨安裝服務,中華郵政股份有限公司,106臺北市大安區金山南路2段55號,蘇子洺,(02)23921310分機2320,公開招標,勞務類,最低標,9000000,三商電腦股份有限公司,110臺北市信義區信義路5段150巷2號4樓之3,富鴻網股份有限公司
award_20220102.xml,2022/01/16,2022/01/31,2022/01/25,2022/01/26,106-4-1007-1,106年租賃支局網路設備(第1期) (契約變更增帳),中華郵政股份有限公司,106臺北市大安區金山南路2段55號,江政原,(02)23921310分機2309,限制性招標(未經公開評選或公開徵求),財物類,最低標,13365882,駿永資訊科技股份有限公司,100臺北市中正區北平東路30號5樓,
award_20220102.xml,2022/01/16,2022/01/31,2022/01/25,2022/02/10,11054T,111年度農民學院資訊網路及服務平臺計畫,行政院農業委員會,100臺北市中正區南海路37號,楊晏婷,(02)23126065分機,經公開評選或公開徵求之限制性招標,勞務類,準用最有利標,8300000,冠諭科技股份有限公司,100臺北市中正區重慶南路3段16巷10號1樓,
award_20220202.xml,2022/02/16,2022/02/28,2022/02/21,2022/02/22,110C049,111-114年度電子郵件、共用行事曆及網路磁碟整合服務,行政院環境保護署,100臺北市中正區中華路一段83號,曾灼灼 許惠琮,(02)23117722分機2339,公開招標,財物類,最低標,11700000,馬來西亞商思想科技有限公司,104臺北市中山區民權東路1段45號7樓,
award_20220202.xml,2022/02/16,2022/02/28,2022/02/23,2022/02/24,11004803170,經濟部111年共構資料中心網路與資訊服務平台優化案,經濟部,100臺北市中正區福州街15號,施佳伶,(02)23212200分機8702,經公開評選或公開徵求之限制性招標,勞務類,準用最有利標,13650000,台灣源訊科技股份有限公司,105臺北市松山區民生東路3段100號5樓,
award_20220202.xml,2022/02/16,2022/02/28,2022/02/23,2022/02/24,Y11070,總院院區新世代無線網路建置案,國立成功大學醫學院附設醫院,704臺南市北區勝利路138號 資材室 採購組,鐘淑惠,(06)2353535分機2807,公開招標,財物類,最低標,72000000,新加坡商網達先進科技有限公司台灣分公司,105臺北市松山區民生東路3段109號13樓,
award_20220202.xml,2022/02/16,2022/02/28,2022/02/23,2022/02/24,11004803230,111年關鍵基礎設施資安聯防服務案,經濟部,100臺北市中正區福州街15號,康芷維,(02)23212200分機8674,經公開評選或公開徵求之限制性招標,勞務類,準用最有利標,12100000,安碁資訊股份有限公司,110臺北市信義區忠孝東路4段563號8樓,
award_20220202.xml,2022/02/16,2022/02/28,2022/02/25,2022/03/07,111A006,111-112年環境用藥管理資訊系統架構重整應用計畫,行政院環境保護署毒物及化學物質局,106臺北市大安區大安路2段132巷35弄1號,危害控制組王郁芬秘書室周小姐,(02)23257399分機55413,經公開評選或公開徵求之限制性招標,勞務類,準用最有利標,12650000,環化有限公司,100臺北市中正區博愛路80號13樓,
award_20220301.xml,2022/03/01,2022/03/15,2022/03/10,2022/03/11,1114100672,教育部因應疫情第3次租用無線網路分享器開口契約採購案,教育部,100臺北市中正區中山南路5號,許秝邦,(02)77129089分機,公開招標,財物類,最低標,9135000,桔豐科技股份有限公司,110臺北市信義區信義路5段109號地下1樓,
